index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1630022400000|8,222|8,24|8,205|8,214|363,046|1630022459999|2985,835256|31|252,4|2076,1358|27.08.2021 02:00:00|27.08.2021 02:00:59|-0,008|0,035|0,42656916514320536258379037|-0,09729992702505473120895159|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False|||||||||||||||||||||
1|1630022460000|8,214|8,228|8,214|8,228|119,105|1630022519999|979,61597|19|119,105|979,61597|27.08.2021 02:01:00|27.08.2021 02:01:59|0,014|0,014|0,17044071098125152179206233|0,17044071098125152179206233|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|True|||||||||||||||||||||
2|1630022520000|8,24|8,275|8,24|8,266|1465,8|1630022579999|12107,6759|99|1218,5|10064,5079|27.08.2021 02:02:00|27.08.2021 02:02:59|0,026|0,035|0,42475728155339805825242718|0,31553398058252427184466019|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|True|||||||||||||||||||||
3|1630022580000|8,274|8,274|8,266|8,266|47,2|1630022639999|390,2128|2|7,2|59,5728|27.08.2021 02:03:00|27.08.2021 02:03:59|-0,008|0,008|0,09678199854827002177594967|-0,09668842156151800821851583|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False|||||||||||||||||||||
4|1630022640000|8,264|8,264|8,263|8,263|216,1|1630022699999|1785,7372|16|0|0|27.08.2021 02:04:00|27.08.2021 02:04:59|-0,001|0,001|0,01210214207914800919762798|-0,01210067763794772507260407|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False|||||||||||||||||||||
5|1630022700000|8,262|8,262|8,24|8,24|99|1630022759999|816,5651|4|35|289,17|27.08.2021 02:05:00|27.08.2021 02:05:59|-0,022|0,022|0,26699029126213592233009709|-0,26627935124667150810941661|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1630022760000|8,235|8,262|8,235|8,262|50,7|1630022819999|417,5604|4|1,7|14,0454|27.08.2021 02:06:00|27.08.2021 02:06:59|0,027|0,027|0,32786885245901639344262295|0,32786885245901639344262295|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1630022820000|8,229|8,229|8,224|8,224|20,2|1630022879999|166,1458|3|0|0|27.08.2021 02:07:00|27.08.2021 02:07:59|-0,005|0,005|0,06079766536964980544747082|-0,06076072426783327257260907|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1630022880000|8,224|8,224|8,224|8,224|0|1630022939999|0|0|0|0|27.08.2021 02:08:00|27.08.2021 02:08:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1630022940000|8,262|8,262|8,262|8,262|11,9|1630022999999|98,3178|1|11,9|98,3178|27.08.2021 02:09:00|27.08.2021 02:09:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||ACMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
