index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629676800000|21,85|21,926|21,838|21,925|3656,676|1629676859999|79994,401325|286|2488,107|54451,39186|23.08.2021 02:00:00|23.08.2021 02:00:59|0,075|0,088|0,40296730469823243886802821|0,34324942791762013729977117|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|True|||||||||||||||||||||
1|1629676860000|21,925|21,925|21,8|21,815|9902,373|1629676919999|216449,511072|246|2926,211|63980,548408|23.08.2021 02:01:00|23.08.2021 02:01:59|-0,11|0,125|0,57339449541284403669724771|-0,50171037628278221208665906|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|False|||||||||||||||||||||
2|1629676920000|21,815|21,821|21,711|21,744|13915,695|1629676979999|302685,058336|420|1849,701|40251,653445|23.08.2021 02:02:00|23.08.2021 02:02:59|-0,071|0,11|0,50665561236239694164248538|-0,3254641301856520742608297|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|False|||||||||||||||||||||
3|1629676980000|21,745|21,769|21,466|21,499|31417,434|1629677039999|679258,217103|1229|5883,929|127324,675999|23.08.2021 02:03:00|23.08.2021 02:03:59|-0,246|0,303|1,41153451970558091866207025|-1,13129455047137272936307197|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|False|||||||||||||||||||||
4|1629677040000|21,499|21,623|21,489|21,593|10294,667|1629677099999|221938,121982|814|4161,527|89796,944152|23.08.2021 02:04:00|23.08.2021 02:04:59|0,094|0,134|0,62357485224998836614081623|0,43722963858784129494395088|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|True|||||||||||||||||||||
5|1629677100000|21,613|21,741|21,568|21,737|13607,687|1629677159999|294508,93998|645|7732,42|167530,070956|23.08.2021 02:05:00|23.08.2021 02:05:59|0,124|0,173|0,80211424332344213649851632|0,57372877434877157266460001|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629677160000|21,737|21,786|21,712|21,742|14389,059|1629677219999|312934,868522|648|8794,732|191299,506901|23.08.2021 02:06:00|23.08.2021 02:06:59|0,005|0,074|0,34082535003684598378776713|0,02300225422091364953765469|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629677220000|21,742|21,742|21,652|21,671|7329,936|1629677279999|158967,95405|338|1279,31|27767,751519|23.08.2021 02:07:00|23.08.2021 02:07:59|-0,071|0,09|0,41566598928505449842970626|-0,32655689448992732959249379|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629677280000|21,68|21,71|21,655|21,671|5086,731|1629677339999|110284,359076|348|1544,013|33485,524185|23.08.2021 02:08:00|23.08.2021 02:08:59|-0,009|0,055|0,25398291387670283999076426|-0,04151291512915129151291513|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629677340000|21,674|21,674|21,607|21,621|4582,575|1629677399999|99151,732916|325|2649,605|57328,591063|23.08.2021 02:09:00|23.08.2021 02:09:59|-0,053|0,067|0,31008469477484148655528301|-0,24453261972870720679154748|||||||||||||||||||||||||||||||||||||||||||||||||||ATOMUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
