index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1630022400000|0,7223|0,7225|0,7222|0,7222|16715|1630022459999|12073,3238|31|5140|3713,2604|27.08.2021 02:00:00|27.08.2021 02:00:59|-0,0001|0,0003|0,04153973968429797839933536|-0,01384466288245881212792469|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False|||||||||||||||||||||
1|1630022460000|0,7223|0,7223|0,722|0,7221|11917|1630022519999|8605,8928|19|6966|5030,7768|27.08.2021 02:01:00|27.08.2021 02:01:59|-0,0002|0,0003|0,04155124653739612188365651|-0,02768932576491762425584937|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False|||||||||||||||||||||
2|1630022520000|0,722|0,7221|0,722|0,722|10467|1630022579999|7557,3403|8|1663|1200,8523|27.08.2021 02:02:00|27.08.2021 02:02:59|0|0,0001|0,01385041551246537396121884|0|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False|||||||||||||||||||||
3|1630022580000|0,722|0,722|0,722|0,722|5798|1630022639999|4186,156|7|0|0|27.08.2021 02:03:00|27.08.2021 02:03:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False|||||||||||||||||||||
4|1630022640000|0,722|0,7221|0,722|0,7221|3812|1630022699999|2752,3162|8|522|376,9362|27.08.2021 02:04:00|27.08.2021 02:04:59|0,0001|0,0001|0,01385041551246537396121884|0,01385041551246537396121884|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|True|||||||||||||||||||||
5|1630022700000|0,7221|0,7221|0,722|0,7221|19373|1630022759999|13989,2183|8|19123|13808,7183|27.08.2021 02:05:00|27.08.2021 02:05:59|0|0,0001|0,01385041551246537396121884|0|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1630022760000|0,7221|0,7221|0,722|0,722|28458|1630022819999|20549,3076|20|25626|18504,5346|27.08.2021 02:06:00|27.08.2021 02:06:59|-0,0001|0,0001|0,01385041551246537396121884|-0,01384849743802797396482482|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1630022820000|0,7221|0,7221|0,7219|0,7221|26860|1630022879999|19393,0414|17|14843|10716,8276|27.08.2021 02:07:00|27.08.2021 02:07:59|0|0,0002|0,02770466823659786674054578|0|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1630022880000|0,7219|0,722|0,7218|0,722|2735|1630022939999|1974,441|7|1435|1036,07|27.08.2021 02:08:00|27.08.2021 02:08:59|0,0001|0,0002|0,0277085065114990302022721|0,01385233411829893337027289|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1630022940000|0,7218|0,7219|0,7217|0,7218|3269|1630022999999|2359,6894|17|1432|1033,7608|27.08.2021 02:09:00|27.08.2021 02:09:59|0|0,0002|0,02771234585007620895108771|0|||||||||||||||||||||||||||||||||||||||||||||||||||AUDUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
10|1630023000000|0,7218|0,7221|0,7218|0,7221|21633|1630023059999|15617,1907|17|3183|2298,2809|27.08.2021 02:10:00|27.08.2021 02:10:59|0,0003|0,0003|0,04156275976724854530340815|0,04156275976724854530340815|0,02771234585007620895108771|0|0,0277085065114990302022721|0,01385233411829893337027289|0,02770466823659786674054578|0|0,01385041551246537396121884|-0,01384849743802797396482482|0,01385041551246537396121884|0|-0,01385041551246537396121884|-0,02770083102493074792243767|0|0|0,01385041551246537396121884|0,01385041551246537396121884|0,01385041551246537396121884|-0,04153398864737643638377406|-0,01384657989476599279977845|-0,02768932576491762425584937|0,7218|0,7218|0,7219|0,722|0,7221|0,7221|0,7221|0,722|0,7221|0,7221|0,7218|0,7218|0,7219|0,722|0,7221|0,7221|0,7221|0,722|0,7221|0,7221|0|1|0|0|0|1|0|0|0|0|AUDUSDT|True|0100010000|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25
11|1630023060000|0,7219|0,7219|0,7218|0,7218|16428|1630023119999|11858,9908|21|671|484,3949|27.08.2021 02:11:00|27.08.2021 02:11:59|-0,0001|0,0001|0,01385425325574951510113605|-0,01385233411829893337027289|0,04156275976724854530340815|0,04156275976724854530340815|0,02771234585007620895108771|0|0,0277085065114990302022721|0,01385233411829893337027289|0,02770466823659786674054578|0|0,01385041551246537396121884|-0,01384849743802797396482482|0,01385041551246537396121884|0|-0,01385041551246537396121884|-0,02770083102493074792243767|0|0|0,01385041551246537396121884|0,01385041551246537396121884|0,01385041551246537396121884|-0,04153398864737643638377406|0,7218|0,7221|0,7218|0,7218|0,7219|0,722|0,7221|0,7221|0,7221|0,722|0,7218|0,7221|0,7218|0,7218|0,7219|0,722|0,7221|0,7221|0,7221|0,722|1|0|1|0|0|0|1|0|0|0|AUDUSDT|False|1010001000|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25
