index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629763200000|0,0070055|0,0070075|0,0069787|0,0069849|7397739|1629763259999|51749,1323787|149|2264266|15834,6592739|24.08.2021 02:00:00|24.08.2021 02:00:59|-2,06E-05|2,88E-05|0,41268431083153022769283677|-0,29405467132966954535721933|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|False|||||||||||||||||||||
1|1629763260000|0,0069898|0,0069898|0,0069588|0,0069796|9938868|1629763319999|69299,5150781|230|3586994|25023,1267021|24.08.2021 02:01:00|24.08.2021 02:01:59|-1,02E-05|3,1E-05|0,44547910559291831925044548|-0,14592692208646885461672723|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|False|||||||||||||||||||||
2|1629763320000|0,0069796|0,0069859|0,0069698|0,0069779|4212903|1629763379999|29400,8551082|92|3104687|21670,8060268|24.08.2021 02:02:00|24.08.2021 02:02:59|-1,7E-06|1,61E-05|0,23099658526786995322677839|-0,02435669665883431715284544|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|False|||||||||||||||||||||
3|1629763380000|0,0069779|0,0069812|0,0069266|0,0069306|10779373|1629763439999|74900,9928667|350|2794340|19434,0872525|24.08.2021 02:03:00|24.08.2021 02:03:59|-4,73E-05|5,46E-05|0,78826552709843213120434268|-0,67785436879290330901847261|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|False|||||||||||||||||||||
4|1629763440000|0,0069266|0,0069767|0,0069236|0,0069767|9003555|1629763499999|62547,8846387|248|7021268|48787,7029434|24.08.2021 02:04:00|24.08.2021 02:04:59|5,01E-05|5,31E-05|0,7669420532670864867987752|0,72329858805185805445673202|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|True|||||||||||||||||||||
5|1629763500000|0,006976|0,006977|0,0069468|0,0069767|7670584|1629763559999|53378,9930781|122|4305406|29969,3669411|24.08.2021 02:05:00|24.08.2021 02:05:59|7E-07|3,02E-05|0,43473253872286520412276156|0,01003440366972477064220183|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629763560000|0,0069747|0,0069836|0,0069606|0,0069795|6672011|1629763619999|46528,2292918|125|5214367|36375,3379227|24.08.2021 02:06:00|24.08.2021 02:06:59|4,8E-06|2,3E-05|0,33043128465936844524897279|0,06882016430814228568970708|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629763620000|0,0069839|0,0069912|0,0069756|0,0069858|6652459|1629763679999|46460,8759705|118|1446642|10105,6662906|24.08.2021 02:07:00|24.08.2021 02:07:59|1,9E-06|1,56E-05|0,22363667641493204885601239|0,02720542963100846232047996|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629763680000|0,0069912|0,0069915|0,006975|0,0069835|6987820|1629763739999|48805,969957|80|3013242|21054,4016378|24.08.2021 02:08:00|24.08.2021 02:08:59|-7,7E-06|1,65E-05|0,23655913978494623655913978|-0,11013845977800663691497883|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629763740000|0,0069917|0,007007|0,0069842|0,0069957|7626209|1629763799999|53372,3401877|162|4001883|28011,8796556|24.08.2021 02:09:00|24.08.2021 02:09:59|4E-06|2,28E-05|0,32645113255634145643022823|0,05721069267846160447387617|||||||||||||||||||||||||||||||||||||||||||||||||||DENTUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
