index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1632477600000|0,1968|0,24|0,1965|0,2171|1859512|1632477659999|406417,0951|1089|1242351|272891,0633|24.09.2021 12:00:00|24.09.2021 12:00:59|0,0203|0,0435|22,13740458015267175572519084|10,31504065040650406504065041|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|True|||||||||||||||||||||
1|1632477660000|0,2144|0,2144|0,2071|0,21|582632|1632477719999|122942,0343|371|293824|62019,6159|24.09.2021 12:01:00|24.09.2021 12:01:59|-0,0044|0,0073|3,52486721390632544664413327|-2,05223880597014925373134328|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|False|||||||||||||||||||||
2|1632477720000|0,2098|0,2154|0,2096|0,2146|257047|1632477779999|54664,2897|224|96859|20544,1109|24.09.2021 12:02:00|24.09.2021 12:02:59|0,0048|0,0058|2,76717557251908396946564885|2,28789323164918970448045758|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|True|||||||||||||||||||||
3|1632477780000|0,2154|0,2239|0,215|0,2181|550143|1632477839999|120163,8425|510|287654|62913,0539|24.09.2021 12:03:00|24.09.2021 12:03:59|0,0027|0,0089|4,13953488372093023255813953|1,25348189415041782729805014|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|True|||||||||||||||||||||
4|1632477840000|0,2188|0,2277|0,218|0,2249|592656|1632477899999|131836,0126|561|320213|71529,2881|24.09.2021 12:04:00|24.09.2021 12:04:59|0,0061|0,0097|4,4495412844036697247706422|2,7879341864716636197440585|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|True|||||||||||||||||||||
5|1632477900000|0,2242|0,2277|0,222|0,2238|684723|1632477959999|153262,7624|443|347595|77915,9427|24.09.2021 12:05:00|24.09.2021 12:05:59|-0,0004|0,0057|2,56756756756756756756756757|-0,17841213202497769848349688|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1632477960000|0,2242|0,2277|0,218|0,2187|469921|1632478019999|103876,0825|305|214106|47544,108|24.09.2021 12:06:00|24.09.2021 12:06:59|-0,0055|0,0097|4,4495412844036697247706422|-2,45316681534344335414808207|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1632478020000|0,2184|0,2208|0,2142|0,2165|311955|1632478079999|67550,8203|240|181949|39370,7621|24.09.2021 12:07:00|24.09.2021 12:07:59|-0,0019|0,0066|3,08123249299719887955182073|-0,86996336996336996336996337|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1632478080000|0,2163|0,2218|0,2142|0,2193|241976|1632478139999|52330,0263|188|109128|23637,0101|24.09.2021 12:08:00|24.09.2021 12:08:59|0,003|0,0076|3,54808590102707749766573296|1,38696255201109570041608877|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1632478140000|0,2193|0,2212|0,2169|0,2197|193095|1632478199999|42412,5282|194|60379|13274,7595|24.09.2021 12:09:00|24.09.2021 12:09:59|0,0004|0,0043|1,98248040571692023974181651|0,1823985408116735066119471|||||||||||||||||||||||||||||||||||||||||||||||||||DFUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
