index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629763200000|8,272|8,307|8,272|8,307|67,18|1629763259999|556,940421|8|67,18|556,940421|24.08.2021 02:00:00|24.08.2021 02:00:59|0,035|0,035|0,42311411992263056092843327|0,42311411992263056092843327|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|True|||||||||||||||||||||
1|1629763260000|8,311|8,331|8,31|8,33|210,079|1629763319999|1748,744753|19|210,079|1748,744753|24.08.2021 02:01:00|24.08.2021 02:01:59|0,019|0,021|0,25270758122743682310469314|0,22861268198772710865118518|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|True|||||||||||||||||||||
2|1629763320000|8,329|8,33|8,298|8,298|129,87|1629763379999|1079,400336|11|18,852|157,02716|24.08.2021 02:02:00|24.08.2021 02:02:59|-0,031|0,032|0,38563509279344420342251145|-0,37219354064113338936246848|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False|||||||||||||||||||||
3|1629763380000|8,316|8,316|8,268|8,297|272,462|1629763439999|2256,163575|18|15,897|132,176367|24.08.2021 02:03:00|24.08.2021 02:03:59|-0,019|0,048|0,58055152394775036284470247|-0,22847522847522847522847523|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False|||||||||||||||||||||
4|1629763440000|8,271|8,297|8,271|8,271|47,931|1629763499999|396,515665|4|17,931|148,385665|24.08.2021 02:04:00|24.08.2021 02:04:59|0|0,026|0,31435134808366582033611413|0|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False|||||||||||||||||||||
5|1629763500000|8,297|8,297|8,276|8,296|230,362|1629763559999|1909,237044|10|118,723|984,966696|24.08.2021 02:05:00|24.08.2021 02:05:59|-0,001|0,021|0,25374577090381826969550507|-0,01205254911413764011088345|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629763560000|8,283|8,283|8,264|8,281|890,301|1629763619999|7366,397297|45|1,216|10,069696|24.08.2021 02:06:00|24.08.2021 02:06:59|-0,002|0,019|0,22991287512100677637947725|-0,02414584087890860799227333|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629763620000|8,265|8,278|8,265|8,278|399,884|1629763679999|3306,190109|22|194,839|1611,493184|24.08.2021 02:07:00|24.08.2021 02:07:59|0,013|0,013|0,15728977616454930429522081|0,15728977616454930429522081|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629763680000|8,279|8,279|8,257|8,257|1044,839|1629763739999|8630,546009|21|6,22|51,43318|24.08.2021 02:08:00|24.08.2021 02:08:59|-0,022|0,022|0,26644059585805982802470631|-0,26573257639811571445826791|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629763740000|8,268|8,268|8,24|8,252|164,252|1629763799999|1355,052444|15|51,636|426,350225|24.08.2021 02:09:00|24.08.2021 02:09:59|-0,016|0,028|0,33980582524271844660194175|-0,19351717464925012094823416|||||||||||||||||||||||||||||||||||||||||||||||||||FIROUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
10|1629763800000|8,254|8,256|8,24|8,256|89,005|1629763859999|734,416232|10|69,005|569,609991|24.08.2021 02:10:00|24.08.2021 02:10:59|0,002|0,016|0,19417475728155339805825243|0,02423067603586140053307487|0,33980582524271844660194175|-0,19351717464925012094823416|0,26644059585805982802470631|-0,26573257639811571445826791|0,15728977616454930429522081|0,15728977616454930429522081|0,22991287512100677637947725|-0,02414584087890860799227333|0,25374577090381826969550507|-0,01205254911413764011088345|-0,03627130939426913311570548|-0,22971829283037117639946802|0,13304305757135945815191098|-0,70947570947570947570947571|-0,24102193299590262713906966|-0,61231840557089686637051267|-0,3249097472924187725631769|-0,36096739261220069787029238|0,30222437137330754352030948|0,2901353965183752417794971|8,268|8,252|8,279|8,257|8,265|8,278|8,283|8,281|8,297|8,296|8,268|8,252|8,279|8,257|8,265|8,278|8,283|8,281|8,297|8,296|0|0|1|0|0|0|0|0|1|1|FIROUSDT|True|0010000011|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|0,25 - 0,5|0 - -0,25|-0,25 - -0,5|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|-0,5 - -1|-0,5 - -1|-0,25 - -0,5|0,25 - 0,5
