index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629763200000|0,05324|0,05324|0,05324|0,05324|1878,2|1629763259999|99,995368|1|1878,2|99,995368|24.08.2021 02:00:00|24.08.2021 02:00:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|False|||||||||||||||||||||
1|1629763260000|0,05323|0,05326|0,05318|0,05326|23941,7|1629763319999|1274,654228|6|8094,8|430,999592|24.08.2021 02:01:00|24.08.2021 02:01:59|3E-05|8E-05|0,15043249341857841293719443|0,05635919594213789216607176|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|True|||||||||||||||||||||
2|1629763320000|0,05333|0,05337|0,05326|0,05337|6376,1|1629763379999|339,885481|8|747,6|39,888312|24.08.2021 02:02:00|24.08.2021 02:02:59|4E-05|0,00011|0,20653398422831393165602704|0,07500468779298706169135571|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|True|||||||||||||||||||||
3|1629763380000|0,05337|0,05337|0,05337|0,05337|0|1629763439999|0|0|0|0|24.08.2021 02:03:00|24.08.2021 02:03:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|False|||||||||||||||||||||
4|1629763440000|0,05337|0,05338|0,05332|0,05338|12764,4|1629763499999|681,148076|8|6993,1|373,226015|24.08.2021 02:04:00|24.08.2021 02:04:59|1E-05|6E-05|0,11252813203300825206301575|0,01873711823121603897320592|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|True|||||||||||||||||||||
5|1629763500000|0,05338|0,05338|0,05338|0,05338|2210,4|1629763559999|117,991152|3|2210,4|117,991152|24.08.2021 02:05:00|24.08.2021 02:05:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629763560000|0,05332|0,05332|0,05331|0,05331|3481,4|1629763619999|185,60099|4|0|0|24.08.2021 02:06:00|24.08.2021 02:06:59|-1E-05|1E-05|0,01875820671543800412680548|-0,01875468867216804201050263|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629763620000|0,05336|0,05338|0,05336|0,05338|3488|1629763679999|186,14344|3|3488|186,14344|24.08.2021 02:07:00|24.08.2021 02:07:59|2E-05|2E-05|0,03748125937031484257871064|0,03748125937031484257871064|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629763680000|0,05338|0,05338|0,05331|0,05331|29791|1629763739999|1590,029511|13|16667,7|889,721826|24.08.2021 02:08:00|24.08.2021 02:08:59|-7E-05|7E-05|0,13130744700806602888763834|-0,13113525665043087298613713|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629763740000|0,05332|0,05332|0,05331|0,05331|7515|1629763799999|400,67065|5|0|0|24.08.2021 02:09:00|24.08.2021 02:09:59|-1E-05|1E-05|0,01875820671543800412680548|-0,01875468867216804201050263|||||||||||||||||||||||||||||||||||||||||||||||||||GTOUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
10|1629763800000|0,05333|0,05364|0,05333|0,0534|43187,1|1629763859999|2309,956037|30|40887,1|2187,113037|24.08.2021 02:10:00|24.08.2021 02:10:59|7E-05|0,00031|0,58128633039564972810800675|0,13125820363772735795987249|0,01875820671543800412680548|-0,01875468867216804201050263|0,13130744700806602888763834|-0,13113525665043087298613713|0,03748125937031484257871064|0,03748125937031484257871064|0,01875820671543800412680548|-0,01875468867216804201050263|0|0|0|-0,11242270938729623383923553|0,01873711823121603897320592|-0,11242270938729623383923553|0,22530980097634247089748404|0,09375585974123382711419464|0,26325686348251222264009026|0,1502911891790343791095247|0,26296018031555221637866266|0,26296018031555221637866266|0,05332|0,05331|0,05338|0,05331|0,05336|0,05338|0,05332|0,05331|0,05338|0,05338|0,05332|0,05331|0,05338|0,05331|0,05336|0,05338|0,05332|0,05331|0,05338|0,05338|0|0|1|0|0|1|0|1|1|0|GTOUSDT|True|0010010110|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,25 - 0,5|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5
11|1629763860000|0,0534|0,0534|0,0534|0,0534|0|1629763919999|0|0|0|0|24.08.2021 02:11:00|24.08.2021 02:11:59|0|0|0|0|0,58128633039564972810800675|0,13125820363772735795987249|0,01875820671543800412680548|-0,01875468867216804201050263|0,13130744700806602888763834|-0,13113525665043087298613713|0,03748125937031484257871064|0,03748125937031484257871064|0,01875820671543800412680548|-0,01875468867216804201050263|0,48707381041588609966279505|0,03746721618583739228175347|0|-0,11242270938729623383923553|0,01873711823121603897320592|-0,11242270938729623383923553|0,22530980097634247089748404|0,09375585974123382711419464|0,26325686348251222264009026|0,1502911891790343791095247|0,05333|0,0534|0,05332|0,05331|0,05338|0,05331|0,05336|0,05338|0,05332|0,05331|0,05333|0,0534|0,05332|0,05331|0,05338|0,05331|0,05336|0,05338|0,05332|0,05331|1|0|0|1|0|0|1|0|1|1|GTOUSDT|False|1001001011|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25
12|1629763920000|0,0534|0,0534|0,0534|0,0534|0|1629763979999|0|0|0|0|24.08.2021 02:12:00|24.08.2021 02:12:59|0|0|0|0|0|0|0,58128633039564972810800675|0,13125820363772735795987249|0,01875820671543800412680548|-0,01875468867216804201050263|0,13130744700806602888763834|-0,13113525665043087298613713|0,03748125937031484257871064|0,03748125937031484257871064|0,1688238604389420371412493|0,15003750937734433608402101|0,48707381041588609966279505|0,03746721618583739228175347|0|-0,11242270938729623383923553|0,01873711823121603897320592|-0,11242270938729623383923553|0,22530980097634247089748404|0,09375585974123382711419464|0,0534|0,0534|0,05333|0,0534|0,05332|0,05331|0,05338|0,05331|0,05336|0,05338|0,0534|0,0534|0,05333|0,0534|0,05332|0,05331|0,05338|0,05331|0,05336|0,05338|0|1|0|0|1|0|0|1|0|1|GTOUSDT|False|0100100101|0 - -0,25|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25
13|1629763980000|0,0534|0,0534|0,05335|0,0534|12199,7|1629764039999|651,43295|4|11579,1|618,32394|24.08.2021 02:13:00|24.08.2021 02:13:59|0|5E-05|0,09372071227741330834114339|0|0|0|0|0|0,58128633039564972810800675|0,13125820363772735795987249|0,01875820671543800412680548|-0,01875468867216804201050263|0,13130744700806602888763834|-0,13113525665043087298613713|0,07496251874062968515742129|0,07496251874062968515742129|0,1688238604389420371412493|0,15003750937734433608402101|0,48707381041588609966279505|0,03746721618583739228175347|0|-0,11242270938729623383923553|0,01873711823121603897320592|-0,11242270938729623383923553|0,0534|0,0534|0,0534|0,0534|0,05333|0,0534|0,05332|0,05331|0,05338|0,05331|0,0534|0,0534|0,0534|0,0534|0,05333|0,0534|0,05332|0,05331|0,05338|0,05331|0|0|1|0|0|1|0|0|1|0|GTOUSDT|False|0010010010|0 - -0,25|0 - -0,25|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25|0 - -0,25
14|1629764040000|0,0534|0,0534|0,0534|0,0534|507|1629764099999|27,0738|1|0|0|24.08.2021 02:14:00|24.08.2021 02:14:59|0|0|0|0|0,09372071227741330834114339|0|0|0|0|0|0,58128633039564972810800675|0,13125820363772735795987249|0,01875820671543800412680548|-0,01875468867216804201050263|0,1688238604389420371412493|0,03746721618583739228175347|0,07496251874062968515742129|0,07496251874062968515742129|0,1688238604389420371412493|0,15003750937734433608402101|0,48707381041588609966279505|0,03746721618583739228175347|0|-0,11242270938729623383923553|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,05333|0,0534|0,05332|0,05331|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,05333|0,0534|0,05332|0,05331|0|0|0|1|0|0|1|0|0|1|GTOUSDT|False|0001001001|0,0 - 0,25|0 - -0,25|0 - -0,25|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0 - -0,25
15|1629764100000|0,0534|0,0534|0,0534|0,0534|4168,4|1629764159999|222,59256|3|0|0|24.08.2021 02:15:00|24.08.2021 02:15:59|0|0|0|0|0|0|0,09372071227741330834114339|0|0|0|0|0|0,58128633039564972810800675|0,13125820363772735795987249|0,1688238604389420371412493|0,15003750937734433608402101|0,1688238604389420371412493|0,03746721618583739228175347|0,07496251874062968515742129|0,07496251874062968515742129|0,1688238604389420371412493|0,15003750937734433608402101|0,48707381041588609966279505|0,03746721618583739228175347|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,05333|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,0534|0,05333|0,0534|0|0|0|0|1|0|0|1|0|0|GTOUSDT|False|0000100100|0 - -0,25|0,0 - 0,25|0 - -0,25|0 - -0,25|0,5 - 1|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,25 - 0,5|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25|0,0 - 0,25
