index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629676800000|13,356|13,371|13,353|13,371|86,114|1629676859999|1150,143448|17|11,224|150,076104|23.08.2021 02:00:00|23.08.2021 02:00:59|0,015|0,018|0,13480116827679173219501236|0,11230907457322551662174304|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True|||||||||||||||||||||
1|1629676860000|13,354|13,369|13,351|13,369|52,656|1629676919999|703,236796|5|10|133,69|23.08.2021 02:01:00|23.08.2021 02:01:59|0,015|0,018|0,13482136169575312710658378|0,11232589486296240826718586|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True|||||||||||||||||||||
2|1629676920000|13,375|13,376|13,375|13,376|25,3|1629676979999|338,401575|6|25,3|338,401575|23.08.2021 02:02:00|23.08.2021 02:02:59|0,001|0,001|0,00747663551401869158878505|0,00747663551401869158878505|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True|||||||||||||||||||||
3|1629676980000|13,376|13,376|13,376|13,376|0|1629677039999|0|0|0|0|23.08.2021 02:03:00|23.08.2021 02:03:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|False|||||||||||||||||||||
4|1629677040000|13,376|13,377|13,376|13,377|95,846|1629677099999|1282,127792|3|95,846|1282,127792|23.08.2021 02:04:00|23.08.2021 02:04:59|0,001|0,001|0,00747607655502392344497608|0,00747607655502392344497608|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True|||||||||||||||||||||
5|1629677100000|13,396|13,397|13,396|13,397|43,582|1629677159999|583,830696|12|43,582|583,830696|23.08.2021 02:05:00|23.08.2021 02:05:59|0,001|0,001|0,00746491489997014034040012|0,00746491489997014034040012|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629677160000|13,397|13,417|13,397|13,417|427,003|1629677219999|5726,942416|17|427,003|5726,942416|23.08.2021 02:06:00|23.08.2021 02:06:59|0,02|0,02|0,14928715384041203254459954|0,14928715384041203254459954|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629677220000|13,417|13,417|13,417|13,417|0|1629677279999|0|0|0|0|23.08.2021 02:07:00|23.08.2021 02:07:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629677280000|13,417|13,422|13,417|13,422|61,647|1629677339999|827,125066|4|60,88|816,83346|23.08.2021 02:08:00|23.08.2021 02:08:59|0,005|0,005|0,03726615487813967354848327|0,03726615487813967354848327|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629677340000|13,423|13,423|13,423|13,423|1,684|1629677399999|22,604332|1|0|0|23.08.2021 02:09:00|23.08.2021 02:09:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||JUVUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
