index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629676800000|5,1993|5,2124|5,1988|5,2124|1116,17|1629676859999|5808,987802|24|1083,31|5638,147064|23.08.2021 02:00:00|23.08.2021 02:00:59|0,0131|0,0136|0,26159883049934600292375163|0,25195699421075914065354952|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|True|||||||||||||||||||||
1|1629676860000|5,2072|5,2101|5,1992|5,2076|2286,98|1629676919999|11899,761869|47|217,09|1130,449493|23.08.2021 02:01:00|23.08.2021 02:01:59|0,0004|0,0109|0,20964763809816894906908755|0,0076816715317253034260255|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|True|||||||||||||||||||||
2|1629676920000|5,2051|5,2124|5,1988|5,2066|1178,17|1629676979999|6133,436134|32|666,22|3469,008518|23.08.2021 02:02:00|23.08.2021 02:02:59|0,0015|0,0136|0,26159883049934600292375163|0,02881789014620276267506868|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|True|||||||||||||||||||||
3|1629676980000|5,211|5,2124|5,1978|5,2047|3329,59|1629677039999|17315,277232|27|969,68|5044,530708|23.08.2021 02:03:00|23.08.2021 02:03:59|-0,0063|0,0146|0,28088806802878140751856555|-0,12089810017271157167530225|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|False|||||||||||||||||||||
4|1629677040000|5,2031|5,2402|5,1706|5,2058|20761,09|1629677099999|108264,747301|1067|12781,57|66778,777637|23.08.2021 02:04:00|23.08.2021 02:04:59|0,0027|0,0696|1,34607202258925463195760647|0,05189214122350137418077684|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|True|||||||||||||||||||||
5|1629677100000|5,2101|5,2169|5,208|5,2117|884,42|1629677159999|4609,555824|36|835,79|4356,26961|23.08.2021 02:05:00|23.08.2021 02:05:59|0,0016|0,0089|0,17089093701996927803379416|0,03070958330934147137291031|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629677160000|5,2088|5,2113|5,2066|5,2067|267,64|1629677219999|1393,936569|17|125,63|654,397152|23.08.2021 02:06:00|23.08.2021 02:06:59|-0,0021|0,0047|0,09027004186993431413974571|-0,04031638765166641068960221|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629677220000|5,2054|5,2091|5,202|5,2035|1057,36|1629677279999|5504,53748|27|181,55|945,251376|23.08.2021 02:07:00|23.08.2021 02:07:59|-0,0019|0,0071|0,13648596693579392541330258|-0,03650055711376647327775003|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629677280000|5,2017|5,2128|5,2015|5,2088|929,86|1629677339999|4843,144003|41|922,53|4805,001824|23.08.2021 02:08:00|23.08.2021 02:08:59|0,0071|0,0113|0,21724502547342112852061905|0,13649383855278082165445912|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629677340000|5,2119|5,2141|5,2051|5,2051|365,74|1629677399999|1905,827735|14|205,47|1070,856374|23.08.2021 02:09:00|23.08.2021 02:09:59|-0,0068|0,009|0,1729073408772165760504121|-0,13047065369634874038258601|||||||||||||||||||||||||||||||||||||||||||||||||||LITUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
