index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629763200000|0,01077|0,01078|0,010748|0,01076|256538|1629763259999|2759,983464|25|14309|154,121309|24.08.2021 02:00:00|24.08.2021 02:00:59|-1E-05|3,2E-05|0,29772981019724599925567547|-0,09285051067780872794800371|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False|||||||||||||||||||||
1|1629763260000|0,010791|0,010791|0,010791|0,010791|11099|1629763319999|119,769309|3|11099|119,769309|24.08.2021 02:01:00|24.08.2021 02:01:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False|||||||||||||||||||||
2|1629763320000|0,010757|0,010762|0,010757|0,010762|4332|1629763379999|46,607044|2|0|0|24.08.2021 02:02:00|24.08.2021 02:02:59|5E-06|5E-06|0,04648136097424932602026587|0,04648136097424932602026587|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|True|||||||||||||||||||||
3|1629763380000|0,010771|0,010794|0,010756|0,010794|85376|1629763439999|918,784555|7|1388|14,982072|24.08.2021 02:03:00|24.08.2021 02:03:59|2,3E-05|3,8E-05|0,35329118631461509854964671|0,21353634760003713675610435|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|True|||||||||||||||||||||
4|1629763440000|0,010794|0,010816|0,010794|0,010816|113636|1629763499999|1227,006338|9|53821|581,082344|24.08.2021 02:04:00|24.08.2021 02:04:59|2,2E-05|2,2E-05|0,20381693533444506207152122|0,20381693533444506207152122|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|True|||||||||||||||||||||
5|1629763500000|0,010816|0,010816|0,010763|0,010766|295000|1629763559999|3177,682922|8|216363|2329,595564|24.08.2021 02:05:00|24.08.2021 02:05:59|-5E-05|5,3E-05|0,49242776177645637833317848|-0,46227810650887573964497041|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629763560000|0,010797|0,010797|0,010777|0,010777|5564|1629763619999|59,982849|3|934|10,084398|24.08.2021 02:06:00|24.08.2021 02:06:59|-2E-05|2E-05|0,18558040270947387955831864|-0,18523663980735389460035195|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629763620000|0,010801|0,010801|0,010779|0,010779|15206|1629763679999|163,926066|4|3749|40,431063|24.08.2021 02:07:00|24.08.2021 02:07:59|-2,2E-05|2,2E-05|0,20410056591520549216068281|-0,20368484399592630312008147|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629763680000|0,010779|0,010779|0,01077|0,01077|63428|1629763739999|683,244282|6|13858|149,375382|24.08.2021 02:08:00|24.08.2021 02:08:59|-9E-06|9E-06|0,08356545961002785515320334|-0,08349568605622042861118842|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629763740000|0,01077|0,01077|0,01077|0,01077|26162|1629763799999|281,76474|1|0|0|24.08.2021 02:09:00|24.08.2021 02:09:59|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||||||||MBLUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
