index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629763200000|8,18E-06|8,19E-06|8,18E-06|8,19E-06|5842892903|1629763259999|47807,43825983|132|3922408183|32097,87325023|24.08.2021 02:00:00|24.08.2021 02:00:59|1E-08|1E-08|0,12224938875305623471882641|0,12224938875305623471882641|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|True|||||||||||||||||||||
1|1629763260000|8,18E-06|8,2E-06|8,18E-06|8,2E-06|2685033020|1629763319999|21991,99894114|78|2541956562|20821,61332101|24.08.2021 02:01:00|24.08.2021 02:01:59|2E-08|2E-08|0,24449877750611246943765281|0,24449877750611246943765281|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|True|||||||||||||||||||||
2|1629763320000|8,19E-06|8,2E-06|8,18E-06|8,18E-06|5255218357|1629763379999|43044,90157739|92|1848352356|15143,78574132|24.08.2021 02:02:00|24.08.2021 02:02:59|-1E-08|2E-08|0,24449877750611246943765281|-0,12210012210012210012210012|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|False|||||||||||||||||||||
3|1629763380000|8,19E-06|8,2E-06|8,18E-06|8,19E-06|4479923084|1629763439999|36682,67847661|109|2633171748|21567,14400034|24.08.2021 02:03:00|24.08.2021 02:03:59|0|2E-08|0,24449877750611246943765281|0|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|False|||||||||||||||||||||
4|1629763440000|8,18E-06|8,2E-06|8,18E-06|8,2E-06|2939294100|1629763499999|24066,93764964|91|1511856943|12383,55828083|24.08.2021 02:04:00|24.08.2021 02:04:59|2E-08|2E-08|0,24449877750611246943765281|0,24449877750611246943765281|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|True|||||||||||||||||||||
5|1629763500000|8,19E-06|8,2E-06|8,18E-06|8,19E-06|4686396363|1629763559999|38383,65264538|102|2523105941|20672,40213225|24.08.2021 02:05:00|24.08.2021 02:05:59|0|2E-08|0,24449877750611246943765281|0|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629763560000|8,19E-06|8,2E-06|8,18E-06|8,2E-06|5089710664|1629763619999|41688,63999824|113|1602746435|13132,17833188|24.08.2021 02:06:00|24.08.2021 02:06:59|1E-08|2E-08|0,24449877750611246943765281|0,12210012210012210012210012|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629763620000|8,2E-06|8,2E-06|8,19E-06|8,2E-06|1581362872|1629763679999|12964,16927879|49|1280735711|10502,0328302|24.08.2021 02:07:00|24.08.2021 02:07:59|0|1E-08|0,12210012210012210012210012|0|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629763680000|8,2E-06|8,2E-06|8,19E-06|8,2E-06|428682231|1629763739999|3513,90501068|31|299753879|2457,9818078|24.08.2021 02:08:00|24.08.2021 02:08:59|0|1E-08|0,12210012210012210012210012|0|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629763740000|8,19E-06|8,2E-06|8,19E-06|8,2E-06|3677150304|1629763799999|30144,82688624|88|2896589648|23752,0351136|24.08.2021 02:09:00|24.08.2021 02:09:59|1E-08|1E-08|0,12210012210012210012210012|0,12210012210012210012210012|||||||||||||||||||||||||||||||||||||||||||||||||||SHIBUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
