index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1629676800000|0,010966|0,011017|0,010965|0,011008|409859|1629676859999|4504,502954|57|330074|3628,608725|23.08.2021 02:00:00|23.08.2021 02:00:59|4,2E-05|5,2E-05|0,47423620611035111719106247|0,38300200620098486230165968|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|True|||||||||||||||||||||
1|1629676860000|0,010991|0,01104|0,010988|0,011012|341607|1629676919999|3762,466945|24|296883|3270,722851|23.08.2021 02:01:00|23.08.2021 02:01:59|2,1E-05|5,2E-05|0,47324353840553330906443393|0,19106541715949413156218724|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|True|||||||||||||||||||||
2|1629676920000|0,011012|0,011064|0,01101|0,011064|297256|1629676979999|3283,695684|26|254950|2816,817226|23.08.2021 02:02:00|23.08.2021 02:02:59|5,2E-05|5,4E-05|0,49046321525885558583106267|0,472212132219397021431166|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|True|||||||||||||||||||||
3|1629676980000|0,01104|0,011053|0,011007|0,011007|111659|1629677039999|1232,05132|16|5560|61,44097|23.08.2021 02:03:00|23.08.2021 02:03:59|-3,3E-05|4,6E-05|0,41791587171799763786681203|-0,29891304347826086956521739|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|False|||||||||||||||||||||
4|1629677040000|0,011003|0,011039|0,010943|0,010943|709752|1629677099999|7798,798469|64|117643|1295,789786|23.08.2021 02:04:00|23.08.2021 02:04:59|-6E-05|9,6E-05|0,87727314264826829936945993|-0,54530582568390438971189676|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|False|||||||||||||||||||||
5|1629677100000|0,010954|0,011003|0,010931|0,010999|709706|1629677159999|7773,775598|35|381242|4176,669225|23.08.2021 02:05:00|23.08.2021 02:05:59|4,5E-05|7,2E-05|0,65867715671027353398591163|0,41080883695453715537703122|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1629677160000|0,010998|0,011034|0,010998|0,011034|59621|1629677219999|655,96169|9|59621|655,96169|23.08.2021 02:06:00|23.08.2021 02:06:59|3,6E-05|3,6E-05|0,32733224222585924713584288|0,32733224222585924713584288|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1629677220000|0,011031|0,011037|0,011|0,011003|296201|1629677279999|3262,136044|33|66511|733,573103|23.08.2021 02:07:00|23.08.2021 02:07:59|-2,8E-05|3,7E-05|0,33636363636363636363636364|-0,25383011513008793400417007|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1629677280000|0,01102|0,011099|0,01102|0,011062|219943|1629677339999|2434,073258|85|212765|2354,575822|23.08.2021 02:08:00|23.08.2021 02:08:59|4,2E-05|7,9E-05|0,71687840290381125226860254|0,3811252268602540834845735|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|True||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1629677340000|0,011096|0,011133|0,011066|0,011072|816827|1629677399999|9067,190448|182|314320|3491,699556|23.08.2021 02:09:00|23.08.2021 02:09:59|-2,4E-05|6,7E-05|0,60545816013012832098319176|-0,21629416005767844268204758|||||||||||||||||||||||||||||||||||||||||||||||||||TROYUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
