index|OpenTime|Open|High|Low|Close|Volume|CloseTime|QuoteAssetVolume|NumberOfTrades|TakerBuyBaseAssetVolume|TakerBuyQuoteAssetVolume|StartTime|EndTime|SumOpenClose|SumHighLow|PercentHighLow|PercentOpenClose|PercentHighLowOneMinuteAgo|PercentOpenCloseOneMinuteAgo|PercentHighLowTwoMinuteAgo|PercentOpenCloseTwoMinuteAgo|PercentHighLowThreeMinuteAgo|PercentOpenCloseThreeMinuteAgo|PercentHighLowFourMinuteAgo|PercentOpenCloseFourMinuteAgo|PercentHighLowFiveMinuteAgo|PercentOpenCloseFiveMinuteAgo|PercentHighLowSixMinuteAgo|PercentOpenCloseSixMinuteAgo|PercentHighLowSevenMinuteAgo|PercentOpenCloseSevenMinuteAgo|PercentHighLowEightMinuteAgo|PercentOpenCloseEightMinuteAgo|PercentHighLowNineMinuteAgo|PercentOpenCloseNineMinuteAgo|PercentHighLowTenMinuteAgo|PercentOpenCloseTenMinuteAgo|OpenOneMinuteAgo|CloseOneMinuteAgo|OpenTwoMinuteAgo|CloseTwoMinuteAgo|OpenThreeMinuteAgo|CloseThreeMinuteAgo|OpenFourMinuteAgo|CloseFourMinuteAgo|OpenFiveMinuteAgo|CloseFiveMinuteAgo|OpenSixMinuteAgo|CloseSixMinuteAgo|OpenSevenMinuteAgo|CloseSevenMinuteAgo|OpenEightMinuteAgo|CloseEightMinuteAgo|OpenNineMinuteAgo|CloseNineMinuteAgo|OpenTenMinuteAgo|CloseTenMinuteAgo|UpMinuteAgo|UpTwoMinuteAgo|UpThreeMinuteAgo|UpFourMinuteAgo|UpFiveMinuteAgo|UpSixMinuteAgo|UpSevenMinuteAgo|UpEightMinuteAgo|UpNineMinuteAgo|UpTenMinuteAgo|Currency|ShouldBuy|BinaryData|Range_High_Low_One_Minute_Ago|Range_High_Low_Two_Minute_Ago|Range_High_Low_Three_Minute_Ago|Range_High_Low_Four_Minute_Ago|Range_High_Low_Five_Minute_Ago|Range_High_Low_Six_Minute_Ago|Range_High_Low_Seven_Minute_Ago|Range_High_Low_Eight_Minute_Ago|Range_High_Low_Nnie_Minute_Ago|Range_High_Low_Ten_Minute_Ago|Range_Open_Close_One_Minute_Ago|Range_Open_Close_Two_Minute_Ago|Range_Open_Close_Three_Minute_Ago|Range_Open_Close_Four_Minute_Ago|Range_Open_Close_Five_Minute_Ago|Range_Open_Close_Six_Minute_Ago|Range_Open_Close_Seven_Minute_Ago|Range_Open_Close_Eight_Minute_Ago|Range_Open_Close_Nine_Minute_Ago|Range_Open_Close_Ten_Minute_Ago
0|1631923200000|12,516|12,53|12,474|12,48|10478,4|1631923259999|130990,5725|213|5612,6|70163,9034|18.09.2021 02:00:00|18.09.2021 02:00:59|-0,036|0,056|0,44893378226711560044893378|-0,28763183125599232981783317|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False|||||||||||||||||||||
1|1631923260000|12,48|12,485|12,441|12,448|8386,9|1631923319999|104546,1595|269|2468,9|30782,4606|18.09.2021 02:01:00|18.09.2021 02:01:59|-0,032|0,044|0,3536693191865605658709107|-0,25641025641025641025641026|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False|||||||||||||||||||||
2|1631923320000|12,442|12,454|12,379|12,382|11269,9|1631923379999|139925,0214|409|4107,6|51006,2848|18.09.2021 02:02:00|18.09.2021 02:02:59|-0,06|0,075|0,60586477098311656838193715|-0,48223758238225365696833307|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False|||||||||||||||||||||
3|1631923380000|12,381|12,472|12,352|12,467|40983,7|1631923439999|508947,2072|902|26266,7|326382,1986|18.09.2021 02:03:00|18.09.2021 02:03:59|0,086|0,12|0,97150259067357512953367876|0,69461271302802681528147969|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|True|||||||||||||||||||||
4|1631923440000|12,471|12,473|12,414|12,414|6886,9|1631923499999|85716,8984|243|3200,2|39836,216|18.09.2021 02:04:00|18.09.2021 02:04:59|-0,057|0,059|0,47526985661350088609634284|-0,45706038008178975222516238|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False|||||||||||||||||||||
5|1631923500000|12,414|12,434|12,36|12,391|8715,7|1631923559999|108074,4813|268|3424,2|42453,0989|18.09.2021 02:05:00|18.09.2021 02:05:59|-0,023|0,074|0,59870550161812297734627832|-0,18527468986628000644433704|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
6|1631923560000|12,385|12,395|12,359|12,367|5057,3|1631923619999|62579,4827|194|2202,1|27252,323|18.09.2021 02:06:00|18.09.2021 02:06:59|-0,018|0,036|0,29128570272675782830326078|-0,14533710133225676221235365|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
7|1631923620000|12,366|12,372|12,32|12,34|9268,8|1631923679999|114435,9339|277|4635,2|57232,6797|18.09.2021 02:07:00|18.09.2021 02:07:59|-0,026|0,052|0,42207792207792207792207792|-0,2102539220443150574154941|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
8|1631923680000|12,334|12,364|12,324|12,333|5060|1631923739999|62460,2819|194|1800,4|22232,7158|18.09.2021 02:08:00|18.09.2021 02:08:59|-0,001|0,04|0,32456994482310938007140539|-0,00810766985568347656883412|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
9|1631923740000|12,337|12,338|12,301|12,312|24729,4|1631923799999|304539,0681|350|1867,4|23012,823|18.09.2021 02:09:00|18.09.2021 02:09:59|-0,025|0,037|0,30078855377611576294610194|-0,20264245764772635162519251|||||||||||||||||||||||||||||||||||||||||||||||||||SUSHIUSDT|False||0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25
10|1631923800000|12,314|12,361|12,186|12,198|247918,5|1631923859999|3039267,6985|3404|141436,6|1733899,0507|18.09.2021 02:10:00|18.09.2021 02:10:59|-0,116|0,175|1,43607418348924995896930904|-0,94201721617670943641383791|0,30078855377611576294610194|-0,20264245764772635162519251|0,32456994482310938007140539|-0,00810766985568347656883412|0,42207792207792207792207792|-0,2102539220443150574154941|0,29128570272675782830326078|-0,14533710133225676221235365|0,59870550161812297734627832|-0,18527468986628000644433704|-0,61221201868857741259867891|-1,27495790233341351936492663|0,09715025906735751295336788|-0,38769081657378240852919796|-0,05654737862509087971564747|-0,81980389004983121684616621|-0,36974519733140422795595209|-0,90544871794871794871794872|-0,32066698733365400032066699|-0,99872163630552892297858741|12,337|12,312|12,334|12,333|12,366|12,34|12,385|12,367|12,414|12,391|12,337|12,312|12,334|12,333|12,366|12,34|12,385|12,367|12,414|12,391|0|0|0|0|0|0|0|0|0|0|SUSHIUSDT|False|0000001000|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,5 - 1|-0,5 - -1|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|-0,25 - -0,5|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-1 - -2|-0,25 - -0,5|-0,5 - -1|-0,5 - -1|-0,5 - -1
11|1631923860000|12,198|12,281|12,188|12,251|25833,4|1631923919999|316248,6677|851|16798,5|205631,6258|18.09.2021 02:11:00|18.09.2021 02:11:59|0,053|0,093|0,76304561864128651132261241|0,43449745859977045417281522|1,43607418348924995896930904|-0,94201721617670943641383791|0,30078855377611576294610194|-0,20264245764772635162519251|0,32456994482310938007140539|-0,00810766985568347656883412|0,42207792207792207792207792|-0,2102539220443150574154941|0,29128570272675782830326078|-0,14533710133225676221235365|0,00809061488673139158576052|-1,7399710004833252779120348|-0,61221201868857741259867891|-1,27495790233341351936492663|0,09715025906735751295336788|-0,38769081657378240852919796|-0,05654737862509087971564747|-0,81980389004983121684616621|-0,36974519733140422795595209|-0,90544871794871794871794872|12,314|12,198|12,337|12,312|12,334|12,333|12,366|12,34|12,385|12,367|12,314|12,198|12,337|12,312|12,334|12,333|12,366|12,34|12,385|12,367|0|0|0|0|0|0|0|0|0|0|SUSHIUSDT|True|0000000100|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|0,0 - 0,25|-0,5 - -1|0,0 - 0,25|0 - -0,25|-0,25 - -0,5|-0,5 - -1|0 - -0,25|0 - -0,25|0 - -0,25|0 - -0,25|-1 - -2|-1 - -2|-0,25 - -0,5|-0,5 - -1|-0,5 - -1
12|1631923920000|12,252|12,294|12,222|12,294|55634,8|1631923979999|681521,0878|865|37448,4|458731,6765|18.09.2021 02:12:00|18.09.2021 02:12:59|0,042|0,072|0,58910162002945508100147275|0,34280117531831537708129285|0,76304561864128651132261241|0,43449745859977045417281522|1,43607418348924995896930904|-0,94201721617670943641383791|0,30078855377611576294610194|-0,20264245764772635162519251|0,32456994482310938007140539|-0,00810766985568347656883412|0,42207792207792207792207792|-0,2102539220443150574154941|-0,63111902257464196132373169|-1,08195397658457811869196609|0,00809061488673139158576052|-1,7399710004833252779120348|-0,61221201868857741259867891|-1,27495790233341351936492663|0,09715025906735751295336788|-0,38769081657378240852919796|-0,05654737862509087971564747|-0,81980389004983121684616621|12,198|12,251|12,314|12,198|12,337|12,312|12,334|12,333|12,366|12,34|12,198|12,251|12,314|12,198|12,337|12,312|12,334|12,333|12,366|12,34|1|0|0|0|0|1|0|0|0|0|SUSHIUSDT|True|1000000010|0,5 - 1|1 - 2|0,25 - 0,5|0,25 - 0,5|0,25 - 0,5|-0,5 - -1|0,0 - 0,25|-0,5 - -1|0,0 - 0,25|0 - -0,25|0,25 - 0,5|-0,5 - -1|0 - -0,25|0 - -0,25|0 - -0,25|-1 - -2|-1 - -2|-1 - -2|-0,25 - -0,5|-0,5 - -1
